Age of Empires IV,2021 10 28,81,Strategy,Pc
Life is Strange: True Colors,2021 9 10,81,Action Adventure,Pc Playstation Xbox Nintendo
Humankind,2021 10 17,77,Strategy,Pc
FIFA 22,2021 9 27,76,Simulation Sports,Pc Playstation Xbox Nintendo
Monster Hunter Rise,2021 3 26,88,Action Rpg,Pc Nintendo
Nebuchadnezzar,2021 2 17,73,Strategy Simulation Indie,Pc
Road 96,2021 8 16,78,Action Adventure Indie,Pc Playstation Xbox Nintendo
The Stanley Parable: Ultra Deluxe,2022 4 27,90,Adventure Indie,Pc Playstation Xbox
Sniper Elite 5,2022 5 25,80,Action Shooter Adventure,Pc Playstation Xbox
Black Mesa,2020 3 6,86,Action Shooter Indie,Pc
Factorio,2020 8 14,90,Strategy Simulation Indie,Pc
Planet Zoo,2019 11 5,81,Strategy Simulation,Pc
Weedcraft Inc,2019 4 10,67,Strategy Simulation Indie,Pc
The Forest,2018 4 30,80,Action Adventure Indie,Pc Playstation
Graveyeard Keeper,2018 8 14,68,Adventure Rpg Simulation Indie,Pc Playstation Xbox Android
Subnautica,2018 1 23,83,Adventure Indie,Pc Playstation Xbox Nintendo
Planet Coaster,2016 11 17,83,Strategy Simulation,Pc Playstation Xbox
Farming Simulator 17,2016 10 24,69,Simulation,Pc Playstation Xbox
Sid Meier's Civilization VI,2016 10 20,88,Strategy Simulation,Pc Playstation Xbox
RimWorld,2016 7 15,87,Strategy Simulation Indie,Pc
Hearts of Iron IV,2016 6 6,83,Strategy Simulation,Pc
DOOM (2016),2016 5 13,85,Action Shooter,Pc Playstation Xbox Nintendo
Stardew Valley,2016 2 25,89,Rpg Simulation Indie,Pc Playstation Xbox Android
Firewatch,2016 2 8,81,Adventure Indie,Pc Playstation Xbox Android Nintendo
XCOM 2,2016 2 4,88,Rpg Strategy,Pc Playstation Nintendo
The Witness,2016 1 25,87,Adventure Indie Puzzle,Pc Playstation Xbox Android
Fallout 4,2015 11 9,84,Action Rpg,Pc Playstation Xbox
Kentucky Route Zero,2020 1 28,81,Adventure Indie,Pc Playstation Nintendo
Far Cry New Dawn,2019 2 15,73,Action Shooter Adventure Arcade,Pc Playstation Xbox
Among Us,2018 7 25,82,Action Simulation,Pc Android Nintendo
Frostpunk,2018 4 24,86,Strategy Simulation,Pc Playstation Xbox Nintendo
Railway Empire,2018 1 25,76,Strategy Simulation,Pc Playstation Xbox Nintendo
Life is Strange: Before the Storm,2017 8 31,77,Adventure,Pc Playstation Xbox Android
Little Nightmares,2017 4 27,81,Action Platformer,Pc Playstation Xbox Nintendo
theHunter: Call of the Wild,2017 2 16,74,Shooter Adventure Simulation Sports,Pc Playstation Xbox
Orwell: Keeping an Eye on You,2016 10 27,77,Adventure Simulation Indie Puzzle,Pc Android
Don't Starve Together,2016 4 21,83,Action Simulation Indie,Pc Playstation Xbox
Tom Clancy's The Division,2016 3 7,80,Action Shooter Rpg,Pc Playstation Xbox
Mini Metro,2015 11 5,77,Strategy Simulation Indie Puzzle,Pc Playstation Android
Keep Talking and Nobody Explodes,2015 10 8,67,Simulation Indie Puzzle,Pc Playstation Xbox Android Nintendo
Prison Architect,2015 10 5,83,Strategy Simulation Indie,Pc Playstation Xbox Android Nintendo
Plague Inc: Evolved,2015 9 18,80,Strategy Simulation Indie,Pc Playstation Xbox Nintendo
SOMA,2015 9 21,84,Action Adventure Indie,Pc Playstation Xbox
Jotun: Valhalla Edition,2015 9 29,79,Action Indie,Pc Playstation Xbox Nintendo
Undertale,2015 9 14,92,Rpg Indie,Pc Playstation Xbox Nintendo
The Vanishing of Ethan Carter Redux,2015 7 15,80,Adventure Indie,Pc Playstation Xbox Nintendo
MASSIVE CHALICE,2015 5 31,73,Action Strategy Indie,Pc Xbox
Audiosurf 2,2015 5 26,76,Indie,Pc
Invisible Inc.,2015 5 12,82,Adventure Strategy,Pc Playstation Nintendo
Project CARS,2015 5 6,83,Simulation Sports Racing,Pc Playstation Xbox
Kerbal Space Program,2015 4 26,88,Simulation Indie,Pc Playstation Xbox
Life is Strange,2015 1 29,83,Adventure,Pc Playstation Xbox Android
Cities: Skylines,2015 3 10,85,Strategy Simulation,Pc Playstation Xbox Nintendo
The Talos Principle,2014 12 11,85,Adventure Indie Puzzle,Pc Playstation Xbox Android
Dreamfall Chapters,2014 10 20,71,Action Adventure Indie,Pc Playstation Xbox
Spacebase DF-9,2014 10 15,49,Strategy Simulation Indie,Pc
